heading,content
Quick Start Guide,"Choreo is a full lifecycle cloud-native developer platform that enables your developers to create, deploy, run, and govern APIs, integrations, and microservices on Kubernetes.This guide walks you through the following:Developing, deploying, testing, and publishing a REST API.
 Consuming the published REST API via an external application.
 Releasing a new version of the REST API with added functionality.Let's consider a use case where a web application developer designs an application that allows you to maintain reading lists. A user can create a private reading list by adding books. The user can also view and delete them when required. A Choreo developer develops a REST API for this web application to consume. The two developers will create two versions of the solution in two iterations. The second version of the application will add data persistence as a new feature.The following diagram summarizes the use case:{.cInlineImage-full}Let's get started!"
Get Started with Choreo iPaaS,"Choreo iPaaS provides integration capabilities to connect different systems, applications, or services to exchange data and information. You can create integrations between a variety of technologies, including APIs, messaging systems, and integration platforms. The goal of integration is to create a seamless user experience and improve the efficiency and effectiveness of business operations.Choreo provides Integrations developed in Ballerina and integrations based on WSO2 Micro Integrator.For more information, see the following topics:Develop Integrations with Ballerina
 Develop Integrations with the Micro Integrator"
Create Your First Integration as an API,"An integration component integrates APIs, microservices, applications, and data in different languages and formats.Consider a scenario where a developer has created an integration in WSO2 Integration Studio and wants to use it for API-led integration by exposing it in Choreo. In this tutorial, you will learn how to do the following actions to address this requirement:Expose an integration created in WSO2 Integration Studio as an API in Choreo by connecting the GitHub repository in which it resides to Choreo.
 Deploy the Integration component to the development environment.
 Test the Integration component.
 Observe statistics for the Integration component.
 Publish the Integration component and try it out in the production environment.For this tutorial, let's use a basic sample application to expose a proxy service developed in the WSO2 Integration Studio.!!! tip ""Before you begin!""
 To try this tutorial, you can use a sample integration designed via WSO2 Integration Studio.To do this, fork the choreo-examples GitHub repository."
Deploy Your Component,"Deploying your component on Choreo makes it invokable. Once you have designed, tested, and committed the REST API, you can deploy it.To deploy a component, follow the steps below:Click the Deploy icon.
 Automatic Deployment is enabled by default. If you want do not want Choreo to automatically deploy the component after each commit that edits its implementation, you can disable automatic deployment,
 Then in the Build Area card, click Deploy Manually.
 !!! info
 Choreo requires you to perform the first deployment of each component manually so that you can provide values for any configurable variables that the implementation may include.
 {.cInlineImage-full}
 You can view the progress of the deployment from the console.
 {.cInlineImage-full}Once you deploy the component, the Development card indicates that it is active.{.cInlineImage-full}Now you can test your deployed component to check if it is working as expected."
What is Choreo?,"Today, with the growth of the global API ecosystem, APIs have become an essential part of modern engineering. Therefore, it has become necessary for organizations to participate in this global API supply chain by consuming and producing APIs. The adoption of cloud and microservices-based distributed architecture has also become increasingly significant, causing more and more organizations to rapidly evolve and look for innovative ways to build their digital business ecosystem. This has led to the need for a state-of-the-art iPaaS that can address the complex challenges that organizations face when connecting applications, systems, and data to build integrations and expose those integrated services to internal and external consumers in a future-proof manner.Choreo, a versatile and comprehensive platform for low-code, cloud-native engineering, provides the following advantages:An AI-assisted, low-code application development environment that can help developers build enterprise-class integrations faster while ensuring best practices and secure coding guidelines.
 Developers can switch between a visual low-code and typical code environment and select the experience that best supports a given situation.
 Even without expert-level coding skills, Choreo's low-code environment empowers developers to build applications with ease. It also provides capabilities to collaborate and improve these applications as needed.
 Its low-code application development platform auto-generates editable and version-controlled code and maintains it in GitHub. This makes it possible to apply the engineering rigor required for enterprise applications on low-code.
 API management capabilities to develop APIs and get them to production. Choreo’s API Publisher Portal allows API developers to design, publish, and manage the lifecycle of APIs whereas the API Developer Portal allows consumers to consume APIs.
 Realistic DevOps with versions, environments, CI/CD pipelines, and automation tests.
 Deep observability to trace your executions from the code statement level to the machine on which those run."
Create Your First Webhook,"Choreo’s low-code editor allows developers to easily design (and then implement) high-quality webhooks. To explore this capability, let's consider a scenario where a team of software engineers in an organization wants to be notified via email whenever someone creates a GitHub issue with the bug label in a specific repository.In this tutorial, you will address this requirement by doing the following:Create a webhook component by connecting to your GitHub repository that includes the implementation of the webhook that addresses the described requirement.
 Deploy the webhook you created to the development environment.
 Modify the webhook implementation to connect the webhook implementation to GitHub, enabling it to act in response to selected GitHub-related events.
 Test the webhook.
 Promote the webhook to the production environment."
Create Your First REST API Proxy,"This tutorial introduces REST API proxies.An API Proxy exposes an existing API on Choreo and intercepts the requests to the REST API. It API Proxy acts as a managed API to which you can apply security, rate-limiting, etc.In this tutorial, you will learn how to do the following:Expose an existing API by creating a REST API proxy
 Deploy the REST API proxy
 Test the REST API proxy to verify its functionality
 Manage your REST API proxy by adding rate limiting and security policies, thereby leveraging the platform's API management capabilities.!!!tip ""Before you begin...""
 Familiarize yourself with REST API Proxies in Choreo. REST API ProxiesLet's begin!"
Test an API,"Before using your API in production, you can test it using the integrated console in Choreo. Once you deploy your API in the required environment, an API consumer can use the application credentials, generate an OAuth 2.0 token, and invoke the API to test its functionality by providing values for the required parameters.This guide will take you through the steps to test an API in Choreo.Sign in to Choreo Developer Portal at https://devportal.choreo.dev. Alternatively, click Developer Portal on the Choreo Console header.
 {.cInlineImage-half}
 Click APIs.
 Select an API you want to test and click Try Out on the card. In this case, skip step 4. Alternatively, you can click on the API and follow step 4.
 In the left pane, click Try Out.
 Select the required environment from the Environment list.
 {.cInlineImage-half}
 From the Subscribed Application list, select the application you used to subscribe the API to. To learn how to subscribe to an application, see Manage Subscriptions.
 Click Get Test Key on the Access Token field to generate a test access token. To learn more about access tokens and generating tokens for production usage, see Manage Applications.
 Next, expand a resource you want to test by clicking on it.
 {.cInlineImage-half}
 Click Try it Out to enable the resource to be tested.
 Fill in values for the required parameters and click Execute.
 {.cInlineImage-half}
 Once Choreo executes the request, you can view the response in the Choreo Console."
Create Your First Event-triggered Integration,"Choreo allows you to deploy, test, manage, and observe integration components that integrate APIs, microservices, applications, and data in different languages and formats.To explore this capability, let's consider a scenario where a team of software engineers in an organization wants to be notified via email whenever someone creates a GitHub issue with the bug label in a specific GitHub repository.In this tutorial, you will address this requirement by doing the following:Create an Event-triggered Integration component by connecting to your GitHub repository where the webhook implementation that addresses the described requirement resides.
 Deploy the event-triggered integration you created to the development environment.
 Update the implementation of the event-triggered integration, enabling it to listen to selected GitHub events and act in response.
 Test the event-triggered integration.
 Promote the event-triggered Integration to the production environment."
Scheduled Tasks,Learn how to use scheduled tasks to execute routine tasks at specified time intervals.
