ArticleTitle	Question	Answer
Abraham_Lincoln	Was Abraham Lincoln the sixteenth President of the United States?	yes
Abraham_Lincoln	Did Lincoln sign the National Banking Act of 1863?	yes
Abraham_Lincoln	Did his mother die of pneumonia?	no
Abraham_Lincoln	How many long was Lincoln's formal education?	18 months
Abraham_Lincoln	When did Lincoln begin his political career?	1832
Abraham_Lincoln	What did The Legal Tender Act of 1862 establish?	the United States Note, the first paper currency in United States history
Abraham_Lincoln	Who suggested Lincoln grow a beard?	11-year-old Grace Bedell
Abraham_Lincoln	When did the Gettysburg address argue that America was born?	1776
Abraham_Lincoln	Did Lincoln beat John C. Breckinridge in the 1860 election?	yes
Abraham_Lincoln	Was Abraham Lincoln the first President of the United States?	No
Abraham_Lincoln	Did Lincoln start his political career in 1832?	Yes
Abraham_Lincoln	Did Lincoln ever represent Alton & Sangamon Railroad?	Yes
Abraham_Lincoln	Which county was Lincoln born in?	Southeast Hardin County, Kentucky
Abraham_Lincoln	When did Lincoln first serve as President?	March 4, 1861
Abraham_Lincoln	Who assassinated Lincoln?	John Wilkes Booth
Abraham_Lincoln	Did Lincoln win the election of 1860?	Yes
Abraham_Lincoln	Who was the general in charge at the Battle of Antietam?	John Alexander McClernand
Abraham_Lincoln	Why did Lincoln issue the Emancipation Proclamation?	The goal was to weaken the rebellion, which was led and controlled by slave owners.
Abraham_Lincoln	Do scholars rank lincoln among the top three presidents?	Yes
Abraham_Lincoln	Did lincoln have 18 months of schooling?	Yes
Abraham_Lincoln	Was Lincoln chosen as a presidential candidate in 1860?	Yes
Abraham_Lincoln	How old was Lincoln in 1816?	seven
Abraham_Lincoln	How long was Lincoln's legal Career?	23 years
Abraham_Lincoln	What trail did Lincoln use a Farmers' Almanac in?	he defended William "Duff" Armstrong
Abraham_Lincoln	Did Abraham Lincoln live in the Frontier?	Yes
Abraham_Lincoln	Did Lincoln's Wife's Family support slavery?	Yes
Amedeo_Avogadro	Who is most noted for his contributions to the theory of molarity and molecular weight?	Amedeo Avogadro
Amedeo_Avogadro	Is it true that he became a professor in 1820?	yes
Amedeo_Avogadro	What happened in 1833?	Avogadro had been recalled to Turin university
Anders_Celsius	Who determined the dependence of the boiling of water with atmospheric pressure?	Anders Celsius
Anders_Celsius	What is named after him?	The Celsius crater on the Moon
Anders_Celsius	Is it true that he published a collection in 1738?	No
Anders_Celsius	Is it true that thermometer had 100 for the freezing point?	Yes
Anders_Celsius	Was Celsius born in Uppsala in Sweden?	Yes
Anders_Celsius	Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?	Yes
Anders_Celsius	Is The Celsius crater on the Moon named after him?	Yes
